gene	clus	fdr	logFC	bjm_annot	bjm_misc_notes
HHATL	X32	0.097786099	0.757731115	Tanycyte_2	
FGFR2	X32	0.076193293	0.685389246	Tanycyte_2	
TSHZ2	X32	0.061154953	0.615362125	Tanycyte_2	
RFTN1	X32	0.073659991	0.604016174	Tanycyte_2	
MYO16	X32	0.023161871	0.564027294	Tanycyte_2	
TNRC6B	X32	0.000114737	0.536419057	Tanycyte_2	
PCNA	X32	0.001826677	0.48751705	Tanycyte_2	
GHRH	X33	5.3e-11	5.026071991	ARC_5	GHRH+ but not into periventricular area
GSX1	X33	2.76e-10	4.488741325	ARC_5	GHRH+ but not into periventricular area
POMC	X33	3.83e-14	4.286797859	ARC_5	GHRH+ but not into periventricular area
CNDP1	X33	5.3e-11	4.165778837	ARC_5	GHRH+ but not into periventricular area
AGRP	X33	8.69e-10	4.019416061	ARC_5	GHRH+ but not into periventricular area
MAG	X33	2.19e-09	3.922369201	ARC_5	GHRH+ but not into periventricular area
MYRF	X33	1.82e-10	3.771152495	ARC_5	GHRH+ but not into periventricular area
GAL	X33	9.88e-07	3.66062573	ARC_5	GHRH+ but not into periventricular area
CLDN11	X33	1.36e-10	3.512168099	ARC_5	GHRH+ but not into periventricular area
GABRE	X33	8.63e-09	3.479538994	ARC_5	GHRH+ but not into periventricular area
KLK6	X33	1.85e-06	3.4080686	ARC_5	GHRH+ but not into periventricular area
CDH1	X33	4.14e-10	3.385702301	ARC_5	GHRH+ but not into periventricular area
OPALIN	X33	4.86e-12	3.378270686	ARC_5	GHRH+ but not into periventricular area
UGT8	X33	1.69e-09	3.35939801	ARC_5	GHRH+ but not into periventricular area
MOG	X33	1.69e-09	3.196735239	ARC_5	GHRH+ but not into periventricular area
ERBB3	X33	2.09e-09	3.133711514	ARC_5	GHRH+ but not into periventricular area
MAL	X33	2.32e-10	2.754855524	ARC_5	GHRH+ but not into periventricular area
CNTN2	X33	1.38e-09	2.721066587	ARC_5	GHRH+ but not into periventricular area
ST18	X33	1.17e-08	2.640297899	ARC_5	GHRH+ but not into periventricular area
ERMN	X33	1.28e-07	2.624680669	ARC_5	GHRH+ but not into periventricular area
SOX10	X33	2.43e-08	2.62377365	ARC_5	GHRH+ but not into periventricular area
GABRQ	X33	1.52e-06	2.55939095	ARC_5	GHRH+ but not into periventricular area
CAPN3	X33	7.81e-07	2.540073586	ARC_5	GHRH+ but not into periventricular area
PCSK6	X33	1.15e-07	2.303931468	ARC_5	GHRH+ but not into periventricular area
ECEL1	X33	0.000182494	2.211083906	ARC_5	GHRH+ but not into periventricular area
SHISAL2B	X33	6.8e-09	2.160556933	ARC_5	GHRH+ but not into periventricular area
PROX1	X33	1.25e-09	2.091418888	ARC_5	GHRH+ but not into periventricular area
NPY2R	X33	0.000637951	2.07783163	ARC_5	GHRH+ but not into periventricular area
OLIG2	X33	3.87e-05	2.016748322	ARC_5	GHRH+ but not into periventricular area
GLRA2	X33	0.000111524	1.941836143	ARC_5	GHRH+ but not into periventricular area
CTNNA3	X33	2.39e-05	1.940616004	ARC_5	GHRH+ but not into periventricular area
ACVR1C	X33	1.11e-05	1.738926907	ARC_5	GHRH+ but not into periventricular area
NPY1R	X33	0.000129073	1.728114036	ARC_5	GHRH+ but not into periventricular area
FGFR2	X33	1.85e-06	1.692644049	ARC_5	GHRH+ but not into periventricular area
MCTP2	X33	0.001126785	1.688278693	ARC_5	GHRH+ but not into periventricular area
MOBP	X33	0.000140565	1.673947243	ARC_5	GHRH+ but not into periventricular area
MC3R	X33	0.002722349	1.584151273	ARC_5	GHRH+ but not into periventricular area
PLD5	X33	0.000187465	1.479792397	ARC_5	GHRH+ but not into periventricular area
ZCCHC12	X33	0.002090793	1.429708314	ARC_5	GHRH+ but not into periventricular area
SST	X33	0.002558582	1.417866663	ARC_5	GHRH+ but not into periventricular area
HHATL	X33	0.002558582	1.368217485	ARC_5	GHRH+ but not into periventricular area
VGF	X33	0.007128233	1.32906547	ARC_5	GHRH+ but not into periventricular area
OLIG1	X33	6.24e-05	1.325551919	ARC_5	GHRH+ but not into periventricular area
CRHBP	X33	0.000491041	1.296759471	ARC_5	GHRH+ but not into periventricular area
EFHD1	X33	0.000264771	1.193029975	ARC_5	GHRH+ but not into periventricular area
LEPR	X33	0.05125525	1.182184718	ARC_5	GHRH+ but not into periventricular area
RXFP1	X33	0.095871984	1.160144512	ARC_5	GHRH+ but not into periventricular area
RSPO2	X33	0.038213968	1.142827674	ARC_5	GHRH+ but not into periventricular area
ESR1	X33	0.030613144	1.139510683	ARC_5	GHRH+ but not into periventricular area
PSEN1	X33	4.37e-08	1.131501046	ARC_5	GHRH+ but not into periventricular area
GAD1	X33	0.074447066	1.028017933	ARC_5	GHRH+ but not into periventricular area
ANKRD34B	X33	0.09718498	0.913650979	ARC_5	GHRH+ but not into periventricular area
SSTR2	X33	0.095223511	0.855657954	ARC_5	GHRH+ but not into periventricular area
CYP26B1	X33	0.036783634	0.834974912	ARC_5	GHRH+ but not into periventricular area
BMP8B	X33	0.043630127	0.828983656	ARC_5	GHRH+ but not into periventricular area
ENOX2	X33	0.01887184	0.827394184	ARC_5	GHRH+ but not into periventricular area
ANKRD18A	X33	0.042521308	0.751818765	ARC_5	GHRH+ but not into periventricular area
PEG10	X33	0.095223511	0.650573024	ARC_5	GHRH+ but not into periventricular area
UNC5B	X33	0.050792127	0.583700003	ARC_5	GHRH+ but not into periventricular area
APP	X33	0.013275141	0.540215638	ARC_5	GHRH+ but not into periventricular area
PTGDS	X33	0.074447066	0.52638741	ARC_5	GHRH+ but not into periventricular area
PWP2	X33	0.03677946	0.366159865	ARC_5	GHRH+ but not into periventricular area
KLK6	X34	2.75e-07	3.611103514	Microglia_3	
MAG	X34	7.08e-08	3.565661035	Microglia_3	
TREM2	X34	7.42e-09	3.468546778	Microglia_3	
FCGR1A	X34	1.48e-09	3.399567531	Microglia_3	
CNDP1	X34	1.05e-07	3.356731952	Microglia_3	
P2RY12	X34	8.08e-12	3.270855212	Microglia_3	
CX3CR1	X34	3.73e-12	3.257148925	Microglia_3	
GPR183	X34	3.29e-07	3.228224707	Microglia_3	
MYRF	X34	7.08e-08	3.190479184	Microglia_3	
FCGR3A	X34	7.73e-10	3.176177377	Microglia_3	
GPR34	X34	1.74e-09	3.142627929	Microglia_3	
P2RY13	X34	8.26e-11	3.127837724	Microglia_3	
MOG	X34	5.51e-09	3.123428086	Microglia_3	
ITGAX	X34	9.5e-11	3.109806135	Microglia_3	
ITGB2	X34	7.08e-08	3.082756412	Microglia_3	
RGS10	X34	2.37e-08	3.081963939	Microglia_3	
LY86	X34	7.83e-08	3.043393651	Microglia_3	
TMIGD3	X34	3.84e-13	3.031228785	Microglia_3	
UGT8	X34	1.08e-07	2.977643165	Microglia_3	
PTPRC	X34	3.21e-06	2.950321215	Microglia_3	
HLA-DQA1	X34	4.72e-07	2.912720289	Microglia_3	
CLDN11	X34	1.14e-07	2.889099617	Microglia_3	
CD86	X34	7.08e-08	2.819234096	Microglia_3	
ITGAM	X34	5.42e-10	2.817042921	Microglia_3	
ERMN	X34	2.26e-08	2.771165853	Microglia_3	
LRRK1	X34	4.34e-07	2.753660791	Microglia_3	
HLA-DMB	X34	1.09e-06	2.711526262	Microglia_3	
CAPN3	X34	8.25e-08	2.708735226	Microglia_3	
CD68	X34	2.05e-08	2.703678231	Microglia_3	
AIF1	X34	2.68e-11	2.641477037	Microglia_3	
CD4	X34	1.18e-06	2.566690762	Microglia_3	
PCSK6	X34	7.42e-09	2.498891431	Microglia_3	
ERBB3	X34	4.27e-06	2.442587326	Microglia_3	
FCER1G	X34	3.04e-06	2.410058453	Microglia_3	
CNTN2	X34	2e-07	2.346282587	Microglia_3	
OPALIN	X34	3.98e-06	2.271704065	Microglia_3	
MOBP	X34	5.56e-08	2.268362164	Microglia_3	
CTSS	X34	9.34e-07	2.223456235	Microglia_3	
SOX10	X34	4.03e-06	2.189566944	Microglia_3	
ST18	X34	3.44e-06	2.176855802	Microglia_3	
MAL	X34	9.24e-07	2.146920316	Microglia_3	
STXBP2	X34	8e-07	2.141379436	Microglia_3	
CYTIP	X34	0.00146834	2.089883736	Microglia_3	
RNASET2	X34	5.84e-10	2.037467753	Microglia_3	
MS4A6A	X34	0.00010416	2.026328641	Microglia_3	
CDH1	X34	0.000801082	1.911908964	Microglia_3	
CTNNA3	X34	3.86e-05	1.859120283	Microglia_3	
CD14	X34	0.000670155	1.699234297	Microglia_3	
HHATL	X34	0.000149244	1.616625447	Microglia_3	
CORO1A	X34	0.000654515	1.547848367	Microglia_3	
CCL5	X34	0.045413764	1.547597612	Microglia_3	
CCL4	X34	0.057809049	1.45545916	Microglia_3	
C1orf162	X34	0.000241374	1.440019345	Microglia_3	
SLC6A3	X34	0.007015301	1.431318941	Microglia_3	
SPI1	X34	7.08e-08	1.422113708	Microglia_3	
GZMA	X34	0.034114991	1.414096649	Microglia_3	
OLIG2	X34	0.005131332	1.410095948	Microglia_3	
EFHD1	X34	1.3e-05	1.361044993	Microglia_3	
FGFR2	X34	0.000174058	1.352718361	Microglia_3	
CENPF	X34	0.005523514	1.307647352	Microglia_3	
TGFB1	X34	0.002638991	1.238363058	Microglia_3	
PROKR1	X34	7.66e-05	1.224188238	Microglia_3	
CXCR4	X34	0.046701261	1.201159927	Microglia_3	
CD48	X34	0.009448079	1.195297031	Microglia_3	
PVALB	X34	0.054363766	1.158954891	Microglia_3	
SERPINA3	X34	0.036915702	1.150224693	Microglia_3	
ARHGAP24	X34	0.016346393	1.044811301	Microglia_3	
PTCHD4	X34	0.004731735	0.990436225	Microglia_3	
THEMIS	X34	0.064830814	0.989971437	Microglia_3	
CAPG	X34	0.00024774	0.98550641	Microglia_3	
OLIG1	X34	0.003580195	0.983176189	Microglia_3	
CRHBP	X34	0.009965918	0.961441266	Microglia_3	
GNLY	X34	0.088047341	0.94273469	Microglia_3	
CTSH	X34	0.045413764	0.878992618	Microglia_3	
ANKRD18A	X34	0.039308966	0.711322504	Microglia_3	
PROX1	X34	0.066223854	0.703229926	Microglia_3	
KRT8	X34	0.016003181	0.644612187	Microglia_3	
PSEN1	X34	0.003717989	0.641142538	Microglia_3	
SAMD5	X34	0.027950778	0.640841408	Microglia_3	
UNC5B	X34	0.033687511	0.588419696	Microglia_3	
PCNA	X34	0.069370265	0.297074193	Microglia_3	
WIF1	X35	6.88e-15	5.740357597	Tanycyte_3	Exclude Br6588 (artifact)
CRYM	X35	6.88e-15	5.513890217	Tanycyte_3	Exclude Br6588 (artifact)
LAMA2	X35	2.01e-08	3.863075451	Tanycyte_3	Exclude Br6588 (artifact)
ELOVL2	X35	9.18e-19	3.815129765	Tanycyte_3	Exclude Br6588 (artifact)
DCN	X35	1.5e-07	3.469646032	Tanycyte_3	Exclude Br6588 (artifact)
ALK	X35	1.53e-08	3.136534812	Tanycyte_3	Exclude Br6588 (artifact)
RDH10	X35	7.31e-11	3.058448828	Tanycyte_3	Exclude Br6588 (artifact)
ANXA1	X35	0.000861976	2.88440616	Tanycyte_3	Exclude Br6588 (artifact)
THSD4	X35	7.89e-05	2.192948169	Tanycyte_3	Exclude Br6588 (artifact)
SOX9	X35	1.27e-06	2.137486865	Tanycyte_3	Exclude Br6588 (artifact)
SPON1	X35	8.71e-07	2.103687651	Tanycyte_3	Exclude Br6588 (artifact)
MT2A	X35	0.000560056	2.051801751	Tanycyte_3	Exclude Br6588 (artifact)
MEIS2	X35	2.45e-05	2.026042806	Tanycyte_3	Exclude Br6588 (artifact)
SERPINA3	X35	0.000905438	1.96126468	Tanycyte_3	Exclude Br6588 (artifact)
HES1	X35	0.000135166	1.942918707	Tanycyte_3	Exclude Br6588 (artifact)
TGFB2	X35	8.57e-08	1.921190785	Tanycyte_3	Exclude Br6588 (artifact)
PTPRZ1	X35	2.29e-07	1.915365861	Tanycyte_3	Exclude Br6588 (artifact)
CALCRL	X35	0.00898833	1.755821302	Tanycyte_3	Exclude Br6588 (artifact)
THBS1	X35	0.017695169	1.54221716	Tanycyte_3	Exclude Br6588 (artifact)
SOX2	X35	1.48e-05	1.54069193	Tanycyte_3	Exclude Br6588 (artifact)
IFITM3	X35	0.00413281	1.497826233	Tanycyte_3	Exclude Br6588 (artifact)
COL25A1	X35	0.018011559	1.468264144	Tanycyte_3	Exclude Br6588 (artifact)
PLCH1	X35	0.000861976	1.343724426	Tanycyte_3	Exclude Br6588 (artifact)
NES	X35	0.005759562	1.342465548	Tanycyte_3	Exclude Br6588 (artifact)
MGST1	X35	5.05e-05	1.293802499	Tanycyte_3	Exclude Br6588 (artifact)
CAPG	X35	0.00018847	1.142928358	Tanycyte_3	Exclude Br6588 (artifact)
GJA1	X35	0.00200304	1.142749774	Tanycyte_3	Exclude Br6588 (artifact)
ADAMTS12	X35	0.067449261	1.101149551	Tanycyte_3	Exclude Br6588 (artifact)
CNTNAP3B	X35	0.015615961	1.098099903	Tanycyte_3	Exclude Br6588 (artifact)
NOTCH1	X35	0.007476605	1.087637166	Tanycyte_3	Exclude Br6588 (artifact)
TP53	X35	0.003114428	0.960946885	Tanycyte_3	Exclude Br6588 (artifact)
FGFR2	X35	0.024751761	0.932607659	Tanycyte_3	Exclude Br6588 (artifact)
CXCL14	X35	0.043593285	0.888150246	Tanycyte_3	Exclude Br6588 (artifact)
TMEM132C	X35	0.049455591	0.845814912	Tanycyte_3	Exclude Br6588 (artifact)
STAT3	X35	0.000803622	0.827889936	Tanycyte_3	Exclude Br6588 (artifact)
TTYH1	X35	0.03292328	0.730450423	Tanycyte_3	Exclude Br6588 (artifact)
TSHZ2	X35	0.049455591	0.702400156	Tanycyte_3	Exclude Br6588 (artifact)
APOE	X35	0.026750722	0.644945295	Tanycyte_3	Exclude Br6588 (artifact)
SNTB2	X35	0.016014745	0.637801215	Tanycyte_3	Exclude Br6588 (artifact)
PCNA	X35	0.057894237	0.336662092	Tanycyte_3	Exclude Br6588 (artifact)
TNRC6B	X35	0.081242697	0.279192507	Tanycyte_3	Exclude Br6588 (artifact)
NRGN	X36	0.01385517	5.100386372	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
ANKRD34B	X36	0.00166353	4.829674312	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
NR5A1	X36	0.01385517	4.825467279	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
SLC17A6	X36	0.041129038	4.257079932	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
TLL2	X36	0.01385517	4.232908001	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
CDH13	X36	0.01385517	4.190183593	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
TMEM233	X36	0.021220646	4.029930441	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
FEZF1	X36	0.021225255	3.911013011	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
LAMP5	X36	0.043164665	3.85266159	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
ADCYAP1	X36	0.01385517	3.843306869	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
HS3ST4	X36	0.01385517	3.760409031	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
GLRA3	X36	0.056651928	3.633533631	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
HS6ST2	X36	0.01385517	3.520405045	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
MC3R	X36	0.043164665	3.470544827	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
TAC1	X36	0.047219708	3.469167439	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
DDN	X36	0.043119216	3.379989007	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
DOC2A	X36	0.043164665	3.306148911	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
GABRA5	X36	0.002968581	3.304928905	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
RBFOX1	X36	0.038348903	3.235044619	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
LINC01615	X36	0.062370676	3.221066694	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
PCDH19	X36	0.062370676	3.129456477	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
VSNL1	X36	0.062370676	2.69877871	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
ACVR1C	X36	0.059860558	2.607072904	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
HRH3	X36	0.043164665	2.514417685	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
SNCA	X36	0.021220646	2.089895596	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
BTBD11	X36	0.064510152	2.047725123	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
ELK1	X36	0.043826605	1.885816075	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
SLC24A3	X36	0.043164665	1.654413616	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
MYT1L	X36	0.064510152	1.529378469	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
KRT18	X36	0.062370676	1.358292154	VMH_4_DISCARD	VMH like pattern and markers, but specific to donor 8741
LAMP5	X37	8.8e-18	4.417639804	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
NRGN	X37	6.49e-12	3.921819378	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
ICAM5	X37	5.84e-12	3.819991743	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
DDN	X37	2.28e-16	3.621417208	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
GABRA5	X37	1.78e-30	3.392225306	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
CRHR2	X37	1.16e-10	3.196100328	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
SLC10A4	X37	3.77e-14	3.177469446	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
ANO3	X37	5.52e-14	3.161011162	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
CRYM	X37	3.57e-07	3.152036917	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
SST	X37	9.41e-14	3.088389613	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
RBFOX1	X37	1.05e-10	2.71253249	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
TRAC	X37	9.2e-06	2.691370093	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
SORCS1	X37	1.03e-12	2.640477639	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
IGFBP4	X37	9.2e-06	2.594057747	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
TENM1	X37	1.22e-09	2.523725889	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
GAD2	X37	1.62e-06	2.476838533	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
HTR2C	X37	3.25e-07	2.383307556	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
FSTL4	X37	1.24e-08	2.331209766	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
SSTR1	X37	3.25e-07	2.292768645	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
CAMK2A	X37	3.49e-13	2.266530684	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
HTR2A	X37	4.58e-07	2.182767599	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
GAD1	X37	6.69e-06	2.141313107	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
PCDH19	X37	5.71e-06	2.14126743	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
VSNL1	X37	1.33e-07	2.136362446	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
DOC2A	X37	5.99e-06	2.08168605	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
RELN	X37	2.18e-06	2.036983603	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
SLC17A7	X37	0.001561076	2.012271514	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
HS6ST2	X37	2.51e-06	1.925177251	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
NNAT	X37	5.07e-07	1.905733661	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
ATP2C2	X37	2.73e-05	1.840233598	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
TSHZ2	X37	1.84e-09	1.766889741	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
C2orf80	X37	4.04e-06	1.745372352	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
GPNMB	X37	0.00248755	1.734869848	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
CHODL	X37	4.45e-05	1.731585596	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
GLRA3	X37	0.001265048	1.729158079	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
PCP4	X37	6.74e-07	1.722563125	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
KCNH5	X37	0.000316001	1.710208093	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
THBS1	X37	0.002532635	1.675664322	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
SEMA5A	X37	6.85e-07	1.640132822	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
PDGFRA	X37	1.01e-06	1.638116238	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
ELK1	X37	4.53e-10	1.624026004	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
NRP1	X37	0.000356653	1.610122896	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
RASGRP1	X37	0.000300683	1.608086096	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
NPNT	X37	0.002281838	1.581098999	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
ACVR1C	X37	7.92e-05	1.529592122	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
FILIP1	X37	0.000616512	1.525947758	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
SSTR2	X37	0.000355265	1.49751774	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
PCDH7	X37	2.83e-06	1.441994769	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
CDH4	X37	1.82e-06	1.419432979	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
DLG4	X37	2.57e-06	1.341994151	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
ECEL1	X37	0.020127078	1.332471254	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
ADRA1A	X37	0.000311236	1.256662849	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
PCLO	X37	0.000300683	1.255752438	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
B4GALNT1	X37	0.000218157	1.243652187	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
OLIG2	X37	0.009921175	1.243111997	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
GABRQ	X37	0.02354055	1.217631098	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
VCAN	X37	0.000787059	1.172203195	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
COL12A1	X37	0.02354055	1.166167233	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
CHGB	X37	0.010206558	1.127649851	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
GFOD1	X37	3.5e-06	1.099729475	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
SHANK3	X37	9.61e-07	1.092038692	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
PTPRN	X37	0.015219273	1.067372759	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
SLIT3	X37	0.048291689	1.022011338	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
RXRG	X37	0.000400921	1.005130195	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
VGF	X37	0.028985236	0.984116606	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
NTRK3	X37	0.000165616	0.967248136	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
MYT1L	X37	4.88e-05	0.952842459	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
CEMIP	X37	0.074409634	0.938855087	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
SDK1	X37	0.015406709	0.847919784	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
PEG10	X37	0.011243774	0.819055634	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
CORO1A	X37	0.085774393	0.779236753	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
CSPG4	X37	0.065998878	0.707011247	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
CYP26B1	X37	0.053991607	0.677316945	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
APP	X37	0.000486468	0.670272112	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
BTBD11	X37	0.045588698	0.645598478	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
CELF2	X37	4.24e-07	0.632992527	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
OLIG1	X37	0.085774393	0.565245182	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
BCAN	X37	0.079668103	0.562985299	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
PTPRZ1	X37	0.09362188	0.554970047	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
SLC24A3	X37	0.022227263	0.53405759	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
MYO16	X37	0.068729024	0.434149626	Alar_HYP_1	Based on enrichr (cell types - Allen Brain Atlas mouse brain regions)
MEPE	X38	1.06e-35	6.927372958	DISCARD	Sparse cell type only in 3-4 samples (looks like spatially in far dorsolateral corners, so not expected to be collected in all samps)
LYPD6B	X38	7.59e-11	4.782822308	DISCARD	Sparse cell type only in 3-4 samples (looks like spatially in far dorsolateral corners, so not expected to be collected in all samps)
TAC3	X38	1.04e-09	4.63466144	DISCARD	Sparse cell type only in 3-4 samples (looks like spatially in far dorsolateral corners, so not expected to be collected in all samps)
