gene_symbol	xenium_gene	disorders	tested_tf	xpr_vVMH	xpr_vVMH_M	xpr_vVMH_F	xpr_vARC	xpr_vARC_M	xpr_vARC_F	vARC_sexDE_fdrsig	vVMH_sexDE_fdrsig	vARC_sexDE_nomsig	vVMH_sexDE_nomsig	xARC_sexDE_FDRpt1clusts	xVMH_sexDE_FDRpt1clusts
RHOV	No		NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC025166.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
VPS18	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC020661.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DLL4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CHAC1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
INO80	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC020661.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC020661.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
INO80-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC020661.4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
EXD1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CHP1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
OIP5-AS1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
OIP5	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
NUSAP1	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC087721.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
NDUFAF1	No	BMI, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
RTF1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
ITPKA	No		NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO
LTK	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RPAP1	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TYRO3	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC016134.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MGA	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
AC073657.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MAPKBP1	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC020659.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
JMJD7	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PLA2G4B	No	BMI, MDD, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SPTBN5	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC020659.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
EHD4	No		NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
AC039056.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
EHD4-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PLA2G4E-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PLA2G4E	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PLA2G4D	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PLA2G4F	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
VPS39	No	SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC036103.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TMEM87A	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
GANC	No	SCZ	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CAPN3	Yes	BIP	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ZNF106	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SNAP23	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC018362.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LRRC57	No	BIP	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
HAUS2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC018362.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
STARD9	No	BIP	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CDAN1	No	BIP, BMI	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC090510.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC090510.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TTBK2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC090510.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
UBR1	No	BMI, ASD, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC068724.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TMEM62	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC068724.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CCNDBP1	No	BMI, SCZ, ADHD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
EPB42	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TGM5	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TGM7	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LCMT2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ADAL	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ZSCAN29	No	SCZ	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TUBGCP4	No	BMI, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TP53BP1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
MAP1A	No	BMI, ASD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PPIP5K1	No	SCZ, BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CKMT1B	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
STRC	No	ADHD, SCZ, MDD	NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
CATSPER2	No	BMI, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC011330.2	No		NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
CKMT1A	No	BMI, BIP	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PDIA3	No	SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ELL3	No	BMI, SCZ	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SERF2	No	BMI, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	YES	NO	NO
SERINC4	No	SCZ	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
HYPK	No	BMI	NO	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MFAP1	No	BMI, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
WDR76	No	BMI, SCZ	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
FRMD5	No	SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CASC4	No	AUD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC025043.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CTDSPL2	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC025430.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
EIF3J-DT	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
EIF3J	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC009996.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SPG11	No	BMI, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PATL2	No	ADHD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
B2M	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TRIM69	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC122108.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SORD	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC091117.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DUOX2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DUOXA1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DUOX1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC051619.6	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SHF	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC051619.4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC051619.7	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC051619.8	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC051619.5	No		NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
SLC28A2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC051619.11	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GATM	No	ASD, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC025580.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SPATA5L1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
C15orf48	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC025580.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SLC30A4	No	BMI, AD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC090527.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
BLOC1S6	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SQOR	No		NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
AC068722.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC068722.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC091074.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC012405.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC073941.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SEMA6D	No	ADHD, SCZ, MDD, OCD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC084882.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC023905.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC009558.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC009558.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01491	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC092078.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC092078.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SLC24A5	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MYEF2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CTXN2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SLC12A1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC066612.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC066612.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC023355.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DUT	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
FBN1	No	ASD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC022467.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC022467.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC084757.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC084757.4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CEP152	No	ADHD, NDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC084757.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC012379.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SHC4	No		NO	NO	NO	YES	NO	NO	YES	NO	NO	NO	NO	NO	NO
EID1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC091073.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SECISBP2L	No	SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
COPS2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
GALK2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
FAM227B	No		NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
AC022306.2	No		NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
AC022306.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
FGF7	No		NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
DTWD1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ATP8B4	No	BMI, AD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC025040.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SLC27A2	No		NO	YES	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
HDC	No	BMI, AD, TS	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
GABPB1	No		NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
GABPB1-IT1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
GABPB1-AS1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
AC022087.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
USP8	No	AD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC012170.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC012170.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
USP50	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TRPM7	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC084756.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SPPL2A	No	SCZ, AD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC021752.1	No		NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
AP4E1	No	ADHD, NDD	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TNFAIP8L3	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
CYP19A1	Yes	BMI	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	Tanycyte_2	NO
GLDN	No	BMI, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC066613.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DMXL2	No	BMI, MDD, ASD	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
AC066613.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SCG3	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC020892.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC020892.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LYSMD2	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TMOD2	No	BMI, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC026770.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TMOD3	No	BMI, OCD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC090971.5	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC090971.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC090971.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LEO1	No	BMI, ASD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MAPK6	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MAPK6-DT	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC090970.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC090970.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC023906.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
BCL2L10	No	BMI	NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
GNB5	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC023906.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC023906.4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CERNA1	No		NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MYO5C	No	BMI, ASD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MYO5A	No	ASD, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ARPP19	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
FAM214A	No	SCZ, BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC009754.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC009754.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ONECUT1	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC016044.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
WDR72	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC084759.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
UNC13C	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC011912.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RSL24D1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
RAB27A	No	BMI, SCZ	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC018926.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PIGBOS1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PIGB	No	NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CCPG1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC018926.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC018926.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
C15orf65	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
DNAAF4	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PYGO1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC012378.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PRTG	No		NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
NEDD4	No		NO	NO	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
RFX7	No		YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TEX9	No	SCZ	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC068726.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC084782.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC084782.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MNS1	No		NO	NO	NO	NO	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC084782.3	No		NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
AC090518.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ZNF280D	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC090517.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC090517.5	No		NO	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC010999.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC010999.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TCF12	No	BMI, ADHD	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LINC00926	No		NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
LINC01413	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CGNL1	No	ASD, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC025271.4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MYZAP	Yes		NO	YES	YES	YES	NO	NO	NO	NO	NO	NO	NO	Tanycyte_1, Tanycyte_2	VMH_CRHR2
GCOM1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
POLR2M	No	AD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC090651.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ALDH1A2	No	SCZ	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC012653.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC025431.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AQP9	No	BMI, AD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LIPC	No	AD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC084781.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC018904.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ADAM10	No	BMI, SCZ, AD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC090515.6	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC090515.2	No		NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
MINDY2	No	AD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC090515.5	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC090515.4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RNF111	No	SCZ, AD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SLTM	No	AD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC025918.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CCNB2	Yes		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	Tanycyte_2	VMH_CRHR2
AC092757.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MYO1E	No	BMI, ASD	NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
LDHAL6B	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC092756.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC092868.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
FAM81A	No	SCZ, AD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
GCNT3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GTF2A2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
BNIP2	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC092755.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
